IP,Frequency
66.249.93.42,1
66.249.93.44,1
178.154.171.57,2
129.78.110.124,2
204.79.180.23,6
204.79.180.22,3
204.79.180.14,2
204.79.180.4,2
204.79.180.11,2
204.79.180.17,2
204.79.180.18,2
204.79.180.21,3
204.79.180.2,3
204.79.180.7,3
82.193.102.182,22
109.252.59.165,24
178.154.171.54,1
138.68.165.68,26
109.252.91.199,1
47.19.155.194,23
77.43.83.60,25
31.7.179.318,1
66.206.231.94,1
141.101.132.224,2
31.6.116.958,2
88.99.144.66,1
1.9.0.1,1
178.88.59.152,8
91.200.12.193,1
31.169.29.219,2
39.0.0.0,2
204.79.180.16,3
204.79.180.10,1
204.79.180.13,1
204.79.180.12,3
204.79.180.6,1
204.79.180.5,2
204.79.180.1,1
178.137.82.38,6
109.126.33.80,34
94.130.134.198,2
109.68.237.62,22
217.69.134.39,4
85.140.18.151,22
178.90.74.9,2
144.76.156.211,17
31.172.81.31,2
31.172.81.32,2
157.55.39.140,3
82.145.222.197,2
95.58.243.3,24
148.64.56.75,1
176.124.91.140,24
66.33.207.69,1737
31.8.190.23,24
207.46.13.185,2
176.102.221.170,20
141.8.142.46,3
185.182.81.157,22
95.163.105.131,1
35.3.297.407,1
73.17.175.254,23
80.77.162.2,1
37.230.212.184,2
212.176.213.119,23
188.18.116.100,5
109.110.32.39,10
82.145.222.196,2
213.180.203.38,2
74.125.76.36,1
188.163.16.25,23
17.11.1.992,23
148.64.56.74,2
107.167.103.88,26
193.106.49.65,25
95.70.83.26,9
217.107.115.236,24
107.167.116.76,1
95.153.129.38,24
84.22.154.187,25
194.67.178.229,2
94.125.242.63,3
31.13.113.198,1
101.96.115.106,23
85.140.3.112,24
37.212.67.0,23
79.142.96.231,2
34.8.309.204,1
107.170.213.98,2
217.69.133.190,1
217.69.133.244,1
65.55.210.237,1
199.30.24.77,2
199.30.24.138,1
65.55.210.12,1
199.30.25.163,2
65.55.210.154,3
199.30.24.200,2
199.30.24.196,1
199.30.24.30,1
65.55.210.0,1
65.55.210.85,1
199.30.25.111,1
199.30.25.114,1
65.55.210.177,1
66.160.199.56,36
46.101.28.159,2
107.167.109.87,1
178.121.0.141,27
107.167.104.46,26
188.163.79.63,3
141.0.12.94,2
95.163.31.126,3
213.87.155.84,36
66.249.89.75,13
31.13.124.198,1
64.233.173.151,1
85.140.2.148,25
213.180.203.23,2
66.69.46.1,10
604.4.7.1,8
85.115.243.34,22
91.189.112.7,1
66.220.148.165,1
83.149.44.88,24
148.64.56.78,2
31.172.81.30,1
69.171.225.44,1
148.64.56.73,2
66.249.81.110,4
95.85.39.110,3
107.167.107.176,2
94.242.183.134,2
138.197.72.198,1
54.85.182.120,1
46.211.6.112,24
149.0.0.22,24
88.212.196.67,1
88.212.202.23,1
80.67.243.62,22
213.87.155.232,24
217.118.64.33,1
176.59.112.97,25
195.209.60.77,24
176.59.52.92,15
151.249.221.235,1
185.69.186.33,22
95.57.151.73,25
217.69.134.29,2
193.169.52.154,1
66.249.83.196,1
66.102.8.138,1
66.249.81.108,5
138.68.65.168,1
66.249.81.106,4
46.161.60.195,2
32.8.294.824,2
109.105.189.239,28
188.124.110.86,2
5.1.5.200,2
195.218.134.152,31
192.169.255.46,1
93.91.169.173,26
194.152.36.230,18
66.249.64.138,4
141.8.183.21,3
217.118.64.57,24
95.31.224.194,24
141.8.132.30,2
188.68.48.243,1
94.79.31.162,24
148.64.56.72,2
207.154.213.38,26
217.118.64.52,41
46.211.121.160,2
107.167.109.124,2
46.39.36.31,24
46.5.18.109,25
213.111.153.115,24
46.53.200.12,24
17.11.1.988,24
148.64.56.64,2
27.213.5.29,1
223.38.61.205,23
37.115.184.155,3
94.230.123.114,23
217.118.93.131,1
62.89.223.46,29
66.102.9.134,1
141.0.12.242,1
178.90.251.83,24
38.3.384.648,1
211.103.218.83,1
80.83.235.15,31
217.66.156.174,139
17.9.0.523,139
5.76.160.24,2
91.90.239.89,23
217.118.83.142,31
5.139.19.182,24
95.29.146.13,2
46.133.219.221,25
191.101.24.92,2
38.1.99.063,2
91.222.1.241,25
92.47.18.28,27
195.43.91.161,24
85.86.75.132,2
37.110.214.248,21
77.111.246.9,2
80.83.234.200,3
31.134.120.119,24
87.250.224.127,1
85.148.185.28,26
145.255.169.75,24
87.250.224.40,2
95.108.181.99,2
91.194.239.213,23
95.79.30.13,2
31.173.85.91,23
207.154.245.19,1
37.115.85.1,26
37.219.100.33,22
46.188.61.75,1
66.249.64.142,2
148.64.56.69,2
141.8.142.35,2
176.8.71.54,25
107.167.98.125,25
107.167.103.42,28
199.30.25.195,1
65.55.210.149,1
217.118.79.40,10
31.173.85.148,1
83.220.239.226,24
62.33.152.86,24
46.211.124.135,2
97.74.4.211,1
178.46.212.165,1
85.26.235.199,22
95.108.181.98,1
188.17.192.173,22
94.25.171.226,26
141.8.183.20,1
217.118.93.180,22
94.45.144.1,23
46.216.129.175,24
107.167.106.233,1
46.161.9.52,1
37.9.113.104,1
37.29.41.155,23
206.16.134.30,2
41.7.318.988,1
91.220.204.106,19
46.133.234.49,3
195.24.148.98,55
194.186.207.104,24
17.7.1.791,24
89.33.222.172,22
90.143.43.86,23
185.135.233.11,23
185.14.195.125,2
158.181.184.35,2
5.18.237.203,1
78.187.58.31,28
5.227.7.179,17
109.254.254.69,1
46.211.7.217,23
79.164.254.189,24
193.19.84.89,28
176.65.115.90,1
80.89.76.56,2
5.45.207.71,2
217.14.242.122,3
195.151.254.125,22
178.90.227.120,24
141.0.12.84,2
46.188.121.63,1
176.59.151.101,19
188.18.7.67,24
217.12.97.137,23
31.134.105.14,20
88.200.137.172,25
194.28.115.251,1
31.173.83.137,27
5.44.169.213,26
88.85.213.189,2
46.181.155.197,26
185.23.165.216,22
193.201.224.28,2
188.170.74.252,28
141.8.142.77,1
5.53.112.233,24
173.252.124.71,1
85.233.65.122,26
87.254.139.160,23
85.140.5.19,24
178.76.216.10,25
188.162.180.48,14
188.227.45.107,23
213.87.153.210,1
66.249.93.46,1
92.39.216.255,27
89.42.207.218,13
34.6.298.765,1
82.112.48.238,25
66.249.89.79,2
66.249.89.77,5
46.50.162.94,4
212.96.77.56,24
195.62.62.249,1
17.3.1.840,1
217.12.216.114,23
82.145.221.26,2
46.133.225.210,5
188.191.20.72,24
188.170.198.27,28
109.252.55.143,23
81.177.127.12,28
85.9.141.9,19
5.202.17.1,1
217.118.81.194,19
138.186.3.174,1
